Tweet,HS,Abusive
doain budek xfxfxx g,1,1
lengser dukungsidangistimewampr,1,0
wasiat amanah anak anak nabi ibrahim as turun wasiat tercatit kitab kitab yahudi sejarah zaman zaman kisah cerita rasulullah saw sahabat,0,0
pembodohanmaksa banget ken periodecebong oh cebong,1,1
busukjijik,0,1
on the road kristen stewa om robet doni jr,0,0
lengser jokowi bukti cinta jamban wkwkwkwk,1,1
salah dosa silit,0,1
bodoh sis,0,1
airlangga pribadi lupa bu khofifah alam mensos presiden jokowi sea bantu entas miskin khofifahemiljatimsatu,0,0
memek mulus,0,1
tulis pagi budaya minum obat moga,0,0
aadren mengei puan sakit lihat kasih nnkau tegar tangis bajing tangis,0,1
peno sinting,0,1
pimpin cerdas sholeh teman kwalitasnya gantipresiden,0,0
kondisi buruk peran politik paai komunis indonesia pki dominasi hidup politik indonesia sandar dekrit presiden juli sumber hukum,0,0
masbisa inflasipake ngatain tolol lagidia dongo super,1,1
ratus massa ormas islam geruduk lbh jakaa ganyang pki,1,0
emas bicara jaman sby gelap era jokowi,1,0
maaf hati noob sakit mcm mna gagah senyum pei,0,0
mata minus alias picek,0,1
bisu,0,0
bau bangke tikus xfxfxxa,0,1
cebong isi kepala taikmana cebong mikirnya waras,1,1
kudugaselama kunyuk kunyuk kolojengking durung modar ancen ngene ikigusti allah mboten sare melek karo hukum biadab kalah karo asu,1,1
kpk periksa gubernur sumut cawagub ijeck shah kpk periksa gubernur sumater,0,0
xexxcmas cocok bawa pisang kaya monyetxexxd julur lidah,0,1
pemilihan kepala daerah kota serang pilih tolong mbah pilih,0,0
prabowo presiden teman kemarin beemu restoran metropolis hong kong teman kenal bisnis hubung prabowo,0,0
eh gatau nasabah nuker nabung pokok ngurusin mata uang asing,0,0
kaab bin alasyraf tokoh yahudi benci hadap umat muslim khusus terhdap nabi hafal alquran bunuh salah sahabat anshor proses tadwin alquran m,0,0
bima apk idiot xfxfxx,1,1
woy anjing bodoh bat paham,1,1
udh on omelin yell tenang ae udhorg gila gitu yell org barang taruh org bego dongo sinting sarap bajing,1,1
usir budha myamar bumi indonesiaa,1,0
tolol nulis gin xfxfxxbxfxfxxbxfxfxxbxfxfxxbxfxfxx,1,1
plagiat lagu xfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxx kaum kntl,1,1
anjing sangka gitu kemarin sarap emang rest melulu gegara gamon gamonin mantan g wkwkwkwkwk,0,1
mulut busa muncrat manankarena haus kekuasaankasak kusuk cari salah olah olah mampupadahal mulut doang kerja,1,1
mantap banglanjutkanbiar kampretbani kencing onta kejang semuaxfxfxxxfxfxxxfxfxxxfxfxx,1,1
gin deh jelasinnnkan kasih dare ganti avatar pict banci deh penulis banci elah,0,1
aikel manusiatapi tidur anjing v ae min,0,0
bajak bicara babi gelut,1,1
geraja katolik lokal,0,0
ekonomi tumbuh infrastruktur memble sejahtera raih bencana inflasi,0,0
anjing babi monggo kenan xfxfxx,0,0
jokowi ratu adil turun darah biruadanya darah kotor cina babi,1,1
politisasi bahan dunia,1,0
gubernur berbicara sembarangan kaya tai kucing keinjek baca cerita kaya kes arang bebas anak smp,1,1
sbg kristen istilah kristen nusantara sdh nusantara budaya adat israel sdh terap indonesia,0,0
deh senyum duduk babi babi babi,0,1
dasar bajinganxfxfxxnudah bini ngakunya bujangannsecara pelan nyakitin ngancurin asa mama kunmama ku luxfxfxxacnlu pulang ku banting hp,1,1
yagimanasih anjing rumah doang pagi gangei arah jalan main bingung gada temenxfxfxxadxfxfxaxa,0,1
oh gitu noona anak jalan anak gembel,0,1
hai bicara pakai data by mulut doang loh nasionalisme loh bain tka dasar,0,1
andai hao indonesia negara komunis ideologi benci,0,0
hahahahatimnasnya gk loloas sok ngledekin timnas laennmalu woey maludiem bae sono jamban,1,0
santri tolak berita isu bohong pemilihan kepala daerah kota damai,0,0
rambut bagus sapu iduk mata sipit gk hilang kaki coreng idam bang sungjin mah awas ngehamilin njin ndowoon harap ngajak mbak curhat main berbie,0,0
solusi mulia kaban tokoh bersih anti aseng mohon kasih tausiyah,0,0
bekas pabrik gula tjolomadoe karanganyar jawa ubah buah gedung peunjukan cagar budaya peama gelar konser gedung,0,0
ahoker kristen munafik henti olok gereja dibriefing ahok hina bumi datar,1,1
iyain deh tante jarang dibelai wkwk,0,1
totol ketemu tolol,1,1
paai bangkit faham komunis bangkit tanam rezim,1,0
mei dusun pancuranterongdlingo minggu april jam lap pancur riah dg kirab budaya pentas seni senin april tayup sendang sumurpepunden,0,0
hadeh jujur bohong,1,0
tobat yuk lambat biar gerombol jil doa konsisten bela kafir hayat,1,0
gin yaa mbaknyah mengaku dewasa bedain perilaku perilaku buruk cowok brengsek,1,1
fahri hamzah bela prabowo peolongan perintah jokowi rohingya bubar pki bubar pki,1,0
lahir langsung makan nasi gapake nete,0,0
bhineka islam ainya laku kafir dhimmi hak diinjakinjak,1,0
pilih gubernur sulsel nurdin abdullah maros kota,0,0
bani cabul bodoh cabul bukti cabul kabur skrg terluntalunta arab xfxfxxxfxfxxxfxfxxxfxfxxxfxfxx,1,1
cebong an gelas gambar priode cebongxfxfxxxfxfxxxfxfxx,0,1
rugi jonru mas jokowi emang utang t rakyat garam situ,1,0
rezim jokowi lengser adil kuasa jalan lengser jokowi,1,0
peanyaan tolol bukti,1,1
pilih agussylvinanaknya sby keluarga koruptornblusukanahoknberjamaahcoblospecinyau,1,1
ohhhhh kader moncong putih ciri khas cebong serang islam coba ngelakui tapir mingkem,1,1
cinta sejati buta keliling eikichi gto,0,0
ayo mas udab becek memek,0,1
afwan ust kena santer dengar ust am agen yahudi,0,0
mundur gk becus urus negeri,1,0
tolol parah pis lecehin trus korban maki diem doang sibuk hp woi tolol mikir anying ade kakak gituin bodoh cewek lecehin trus diem doang,0,1
beda negara beda definisi definisi pulung tki tkw emis miskin makan x income gtrp lain-lain,0,0
asing benci bising hubung rumit banding sahabat hening,0,0
laskar liar jahat kelompok jawara ambil tanahtanah milik tuan tionghoa laskar hitam,0,0
psi mesra diktator jokowi peduli jahat timpa munir,1,0
alamat kerja kasih ajah biar bukti lgbt dikenal banci kaleng,1,1
rezim bubar kandangin semuaganti kpk profesional rezim,0,0
kembang bangkai,0,0
lahhh coba gubernur kafir teriak nihh demo hahaha,1,0
bocah geblek penjara,1,1
xcxnn oh crow lihat gadis asing rasanyatidak pernahpernahentahlah kenal,0,0
inti lawan katanyaintine lekno matamuaku bajing kuwe bajing podo wae rak kakean aliby intine podo,0,1
bubar dpr stop korupsi,1,0
udh diketekin onta bom bangnnga sombong,1,1
pendungaun islam kitab tuhan isi quran oceh muhammad,1,1
henti mmng anti aseng nmakanya jngn politik sara nbisa rusak rukun manusia,0,0
perhati chef barat nilai salah ayam rendang terfikir salah nilai seni cat sastera filem hasil seni budaya belah kaca mata cita,0,0
joss nggih,0,0
yerusalem orangorang ajar indah ragam toleransi wajah kota suci agama islam kristen yahudi toleran penerbitmizan mizan yerusalem,0,0
tiada paksa dlm islam kafir muad monggo aplg skdr budaya lokal tuju islam smpurna proses islam hormat,0,0
freepo usaha asing peama menandatangani kontrak rezim jakaa aktor ekonomi politik utama indonesia freepo,0,0
mendagri puji prestasi gubernur made mang pastika,0,0
hadeuuh udh po eh pas barang dateng cacat refund rugi ratus reben,0,0
peanyaan dasar kitab suci fiksi fakta oposisi bopeng agama kitab suci fiksi alias kumpul cerita fiktif umat cerdas amp iman kitab suci fakta rujuk ayat al quran bhw,0,0
islam nusantara isnslamet nusantaranadalah simbiosis islam jawa anti arab anti quran anti nabinajaran dalil risalah kitab ndan ajar sbg bawa ideologi p,0,0
baca bodo,1,1
refrensi kpkcukup dpmbngk pemilihan kepala daerah drobah systemnyaresiko ttap cri resiko sminimal mngkin masyarakat benardpt majusejhtera diakomodir anggota tim bupati rita uang kontraktor,0,0
yuk acara launching kaji ekonomi syariah jakaa jumat april bada jumat tema investasi pasar modal syariah halal haram narasumber ustad mahbub maaf ram,0,0
rb slot main asing asiaaseannam raphael maitimonnojok lali striker buangpinjamkan trus beli lokal asing argentina,0,0
twit w sialan,0,1
takut bajing minoritas cina negeri hadap mayoritas islam ulang ulang leceh ulamxexxa,0,1
lihat darimana umar umar ahokampbusuk lantang hina agama,1,1
suka lihat gaduh agama politik racist negeri,0,0
kuy adek sarap,0,1
goreng amp kopi prabowo amp jokowi pilpres pas presidenpas kopinyapas jokowi ttapjokowi ttapjokowi jokowipresidenkukerjanyata menujuindonesiamaju jokowimembangunindonesia uangkita j,0,0
anak cebong sialan polos cebong sialan tua xfxfxxxfxfxxxfxfxxxfxfxxxfxfxxdxfxfxxdnxexxxexx,1,1
nama buni yani status dakwa langgar uu ite duga dukung aniessandi,1,0
o pacar mantulnv vicuw oknumnyane edan so sweet benernr nyempil merekand lihat lihat mail sayang vicuwno oalah nyata beneran sayangns sayang kanni nama cintans moga bahagia,0,1
rencana keroyok bank asing udh diclaim saking susah mencari prestasi kali tertawa,0,0
dukung jokowi klaim dana bangun bandara keajati apbd jabar bangun bandara keajati himpun dana gantung sepenuh kocek negara gubernur jabar tekad menhub,0,0
urus pilih pimpin urus mustahil ayat al quran perintah umat islam pilih pimpin kriteria khusus umat mesti sadar posisi pimpin pilih agama bangsa,0,0
wkkkkkk dasar cebong,0,1
bagus anjing lockscreenxexdxa,0,1
berita geogle oh atur perintah mudah masuk tka indonesia tka ngak bantah uu dukung xfxfxx,1,0
pakde muslim asu juganbiasa tuhngak ribetnkl emang takut sm asu makane asu dirumahnberagamalah benarnyg sanad otak slewah,0,0
aduh aduh nenek tua jahat politik identitas hati buta coba pikir norak kampung nek nek,1,1
spill nama restoran tinggal papua amp seinget harga pangan mahal mbak bodoh cacat,1,1
gaji mesti kntl,0,1
ciamis salah kabupaten jawa barat mndukung gubernur kang mnjadi presidenwakil presiden ri trnyata kputusan ms pks sbagai naung paainya amp pilih ummat beliau taat saminawaatona i,0,0
eh kuping asing wkwk,0,0
bicara ngigau,1,0
pantes idiot makananya upil,0,1
mempeahankan pres resiko berat rezim ahok mukidi presiden dukung investor rakyat sengsara drpd tanggung ancam naga hiiiii,1,0
males banget jodoh sm upil onta,1,1
habis ngomongnya lancar banget gituloh uang canggung gatau nonton senyam senyum idiot,0,1
jelang pemilihan kepala daerah ibukota negara fenomena warga negara etnis tsb negeri amp usia hak pilih pulang ibukota negara suara kep,0,0
bismillah moga salah pilih inget lohh milih gubernur kaya milih calon pasang hidup bibit bebet bobot mencari mencari benr bukti,0,0
islam titik masyarakat sadar islam bahaya titik,1,0
daritadi nungging mainin memek sange banget cuy,0,1
terima kasih presiden tlh ideide amp arah dlm proses bangun bandara keajati bandara peama indonesia rupa hasil kerja perintah pusat pemerintah daerah bumn amp sw,0,0
islam nusantara wacana islam arab pki numpang pdip jokowi menang pilpres sadar manfaat sadar,1,0
pki khilafahsamasama anti pancasila bubar tangkap dpr dukung,1,0
uym dkung rezim hmmm,0,0
timbang tinta ulama darah syuhada rat tinta ulama darah syuhada hasan albashri,0,0
kebijakankebijakan dagang rupa amanat presiden mesti tunai ekonomi indon,0,0
sosok pimpin sederhana tadzim ulama gus ipul pikul sang guru istirahat pilihgusipulmbakputi gustitopmarkotob gustibangkalan,0,0
lepas darinyahr tirmidzi sanad hasan syaikh al baninulama suuxexx sesatjahat suguh terlanjur bentuk bungkus sesat,0,0
halah mah bicara asu antek antekny side accny halah anjing,1,1
titit dipake pipis,0,1
asing corak kayu coklat hahahaha,0,0
poko pulangin solokalo ceburin habitat kolam butek gantipresiden presidenbaru asalbukanjokowi,1,0
benak teriak bubar pki lucu anak jatuh kesandung batu batu disalahin,1,0
kak ajar bicara asing khusus extrove outgoing puhliiiis hehehehe xfxfxxxfxfxxxfxfxx,0,0
tunggu nsoalnya lepas bom surabaya polisi berha,0,0
gelar profesor palsu lucu nikmat gelar profesor ech bongkar dosen staf biasandan gila terlanjur cinta ilmu palsunyadan gendeng,1,1
selamat renang kolam cebong,1,1
dengar katakata tv dasar ekonomi,0,0
sahabat bangsad,1,1
tai ah emang ngerasa kerja disgraceful bicara bilang serah habis ttd kontrak nawarin lowong,0,1
salah pakai selipar rumahnnyang salah selipar tu bawak jalan selipar tu masuk jambannnhaihh,0,0
akuji bawaslu kolaka teinggi langgar asn pemilihan kepala daerah,0,0
meni sederhana biar cepat halal ekonomiatau beda pendapatkedewasaan sikap,0,0
test dna turun ditii pki prri pks lain-lain,0,0
tu menteri dagang cinasdh numpang cari makan hidup indonesia cari perkara pribumi usir nkri,1,0
banci teriak banci,1,1
gantipresiden scra konstitusional hak rakyat woiii planga plongo laku otoriter,1,1
asa monyet v g,0,0
mimpi sholeh allah mimpi buruk setan bukhari onberkah,0,0
avatarnya sarap main ojek,0,1
tekan laser pointernya slide ganti yaaaap hubung ahli point point peama bicara pimpin agama exorcist laku exorcism,0,0
umat islam tu dibutuhkn pas milu ajasesudah injak ayo blacklist paai politik rezim anti islam,1,0
ko cebong g ade cerdas,1,1
bagas homo kemarin lihat profile grundr,1,1
dimampusin kunyuk sembah lembu,1,1
kamar malahnsendiri glusar glusur kyak setia kasur nxfxfxxxfxfxx,0,0
rayap mah makanin kayu pea kunyuk wkwk,0,1
gin mreka pura budek nxfxfxxnnkh maruf prabowo bikin gaduh xexx viva,0,1
auti auti autis qm yah deh banci autis rem lt,1,1
alumni pks tim sukses anies sandi ramerame buang body kenal asma dewi,1,0
xexxa,0,0
libur kampung halamannnekspektasin nongkrong temenn jalanjalann main pantai dllnnrealitan ganti taplak mejan ganti seprein ganti seng bocorn ganti pribadi,0,0
potret polisi rezim,0,0
ekonomi digital bidang perhati raja create peluang kerja jombn,0,0
habib sinting anonim dengerin sakit jiwa,1,1
buah lagu sialan yak tunggu tanggal main,0,1
sambang pimpin muhammadiyah gresik ketua pan doa presiden,0,0
anut agama buddha ajar agama islam kristen hindu konghucu like her parents agama dunia buruk ajar agama,0,0
eehxexxa memek gatal kak kayak habis gigit serangga bantu kasih salep gaknn tutupin memek pakai selimut,0,1
tearik wawancara simak wawancara akibat buruk sehat,0,0
niqmat gubernur dustakaaan,0,0
doeloe rezim orba dollar lambung rp hao lengser keprabon kondisi sp rezim skrg berani jokowi lengser keprabon,0,0
katolik khusus dewan paus tugas teliti pantau gera dr buah alir aksi spiritual dr umat pimpin paus emeritus bene,0,0
mengurus benarngurusi lainmulutnya nyinyir kaya banci laki-laki,1,1
baca bae maz bli islam hindu beliau xexxctdk nilai islam dlm kacamata hinduxexxd nbeliau menja,0,0
cowok brengsek amp kecut cewek trus harap,1,1
jujur era sby sdh tni otoriter,1,0
korupsi e ktp jaman sby tengku,1,0
bangsat laku teroris budha keparat,1,1
mreka lawan ps kmbali kalah lawan jkw,1,0
closed agency membernya kenal deket biar ngerasa asing,0,0
beliau mohon bantu,0,0
kamseupay kampung udik payah,0,0
moga sdh pikir timpang hasil rencana impor dosen dg gaji sktr rp rp jutabln gaji dosen dn s kerja sktr sktr rp jutabln,0,0
pergi mampus,1,1
busuk lihat salah salah lihat bubar panitia khusus angket kpk,1,0
cak gerry keben tolak isu bohong dukung pemilihan kepala daerah damai,0,0
saverohingya fuck kafir teroris budha,1,1
kalem kntl,1,1
greg graffin album folky country tradisional judul millpo nama greg evolutionary biologist amp pentol bad religion gagas punk manifesto musik countrynya ganjil country kris,0,0
niat elegan puisi tampil norak amp dungu bangga budaya indonesia serang agama kampung,1,1
cupu besok uji minggu ads giat baring kos xfxfxxb,0,1
tangkap ahok klompok laku palsu e ktp rupa penghiyanat bangsa negara,1,0
rokok g sob ngerokok men ah banci ngerokok ehh lihat banci ngerokok smua kaliiii eh bnr,1,1
pink titit titit warna coklat benyek,0,1
iyess ndk museum brawijaya pis tank bawa bom takjil hmm xfxfxx,0,0
ahok kutil babi,1,1
cermin buah paai bentuk anak begawan ekonomi,0,0
pilih nista agama teman koruptor korupsi,0,0
guntur romli neh,0,0
percaya kpk percaya sby demokrat demokrat korupsi,1,0
budha kafir teroris,1,1
salah jokowi ahok kafirkafir ateis,1,1
setan,1,1
sepupu pacar ma pasang sd kali pas cinta monyet gitu gede kawin temantapimexexxa,0,0
mangsa utama burung elang harpy monyet,0,0
gerindra gk gk untung golong apak kabar uu md cepat putus,0,0
berani gaji biar buzzer anonim forensik pinter dikit mengambil buzzer gembel warnet aki gagap teknologi wkwk,0,1
trans kursi ri kursi calon wakil presiden ramai rebut bincang siasat rebut istana live matanajwa wib,0,0
paul pogba selebrasi gol dengar tiru suara monyet,0,0
cwe cakep begopantes gk lakusi ahok cina bau taimakan bubur encerahok faham komunismenista islam kristen,1,1
porno cewek bispak bandung ngentot croot xfxfxxnndownload full,0,1
tangkap ahok rakyatbersamafpi indonesia hancur ulama,1,0
lihat nkri pei koreautara rezim jokowi blokir jokowi lengser jokowi,1,0
rana agama pai politik rana politik bangsa pecah akuterkesima pru kitamestimenang hebatkannegaraku,0,0
dirgahayu sahabat mitra koalisi sekutu juang indonesia sejahtera salam indonesiaraya,0,0
keanyataannya presiden supel ramah diskriminasi trhdp ulama,0,0
nyata pulsa raib emang ngerasa kaya indosat emang boros banget pulsa tibxexxa,0,0
ahy voucher gratis maabak umur hidup anak jokowi,0,0
humor ampas bat anjay wkwkwkxexxddd,0,1
kuasa tua anak kelas polri berani proses loh demo mati polisi hina presiden ade ayem,1,0
super gubernur anies beemu erdogan,0,0
jokowi nothing impossibleits real bukti nkri dlm comando jokowi mnjadi tan zona world class ski puluh dlm tekan asing cengkeram mafia bajing skrg nkri kuat kokoh mnuju wonderful,0,0
baca deh lou bani kopar kapir koplak koplok nalar bejad,1,1
agama toleransi lukman muslim paham toleransi sembah allah swt benci kafir,1,0
tebang pilihnnkri tenang andai kafir negri mnjaga lisan tinggkahnya pda muslim islam,0,0
prabowo panik nprabowo babi buta nserang nelite politik goblog mental malingxexxa,1,1
cinta buta biar pilih salah,0,0
insya allah kang doa,0,0
gatau kak noob,0,0
banding rezim sbelum nyasebuah lompat besarnnbneran perbaikinyg utama hukum,0,0
nape baju gantipresiden a gaji mesti demo berminggunah presiden enak bikin pres tenaga kerja asing b phk pekerjaan tenaga asing enak c ganti pres,1,0
nasib indonesia derita pimpin jokowi,1,0
pki baju merah kena marah,0,0
kembang industri nasional arah menindaklanjuti produktivitas daya saing kembang teknologi leonard tampubolon deputi bidang ekonomi bappenas readyforindustry fmb,0,0
tolak sweeping kerja china komunis antek komunis saudara laki-laki legal buka pintu masuk,1,0
matanajwadebatjakaa lucu banget ahok nyambung kena skak mat peanyaan isu agama dasar cina tolol hahaha,1,1
kayak koki ajar masak cc bu warga pesisir ikan bakar goreng pepes tandem aneka sambal krupuk baso pempek lain-lain masakan khas ikan daerah nusantara trust me its delici,0,0
main taplak meja,0,0
islam indahkristen itunkasihkatolik lembuthindu ituncinta budha dmai jngnlahnrsak tali prsaudaraan dminkpentingan pribadi,0,0
buku syekh yusuf ulama sufi juang abu hamid halaman harga minat,0,0
prediksi toto gelap hongkong kamis maret nnangka main nnmistik nnangka jaga nnshio monyet,0,0
ccd ceced ceced gmn,1,1
manusia terkaga ntu sabar banget ngadepin wkwk idiot garis keras suka marah kg kdg nethink kg suka dikacangin moody kdg marah e sebentar doang ribut bullyable bocah bocah,0,1
video ritual hindu gelar india aceh tarap syariat islam keras,0,0
rumah ranah indah diam culun bakar,0,0
woiii sialan gelik lihat lubelagu orangsongong penci jidat hah,1,1
kapolres tanggung silaturahim tokoh masyarakat wujud pemilihan kepala daerah damai,0,0
gus rommy cerita asbab al wurud peama kali muncul isu pki alamat presiden jokowi pilpres jokowi calon walikota solo kali gubernur jakaa ro,0,0
pilih anis sandi doongjgn pilih nista agama pecah nkri,1,0
mar guyon anjing awm nek dok twt ku rausa risih biang cocot he,0,1
bodoh emang nyambung,0,1
keluarga cebong kuadratyg cewek jil sesat ls hoak,1,1
tokoh pemuda tokoh masyarakat tokoh ulama sinergi minggon desa rawasaribagjadiri,0,0
bubar pkiturunkan harga teriak angkat,0,0
asu hinanyg rebut jabat dg e b o h o g a nnk e b o h o g a nnk e b o h o g a nn,1,1
salah gst pru salah gst tipu munafik,0,0
butuh bom cinta kasih tulus,0,0
inpres jokowi paksa daerah terap online single submission,0,0
lupa pas baca unm asing,0,0
cinta ustadz ahlussunnahnnamun pabila gelincir salah sea mea membenarkannyannkami nasihat amp kesabarannbukan taklid buta amp tinggal kebenarannnsikap,0,0
selamat siang rute jakaa kotapondok cina sedia pkl wib terima kasih,0,0
cebong dongo wkwkwk,1,1
bela islam ragu dukung,0,0
selamat indonesia ayopenjarakan ahok lengser jokowi,1,0
denger statement ulama manapn puja ara statement anti ara an banget bahkn statement anti kechinaan yahudiankepanikan hdp ala liberal,0,0
sya jadicuriga uang t biaya kampanye pilpres budiono wapres detikterahir mugkin sekenario mantan presiden wakil gk kena hukim alias kebal hukum,1,0
asing kenal asing olah damai salah moga asing bos capek akutu,0,0
bubar kpk,1,0
wuih cebong ngamuknkeluar deh kolam butekxfxfxxxfxfxxxfxfxx,1,1
ri rangkul ulama penganiyayaan bunuh ulamari,0,0
bilang jokowi kacung guaitu jujur sekalitapi ebonger diam bisu tuli,1,1
racun nete,0,1
melati wangi bunga bangkai busuk bau,0,0
jowo dg sethewan rubung bangkai,0,0
contoh baek jokowi program mobil esemka mobnas bangun andal hutangdll,0,0
kerja kelompok ngentot porno ngentot memek bugil bispak,0,1
cebong ngei,1,1
ahok diskusi terap sistem ganjilgenap,0,0
teman sahabat putus jalan keinjek beling eh pas jalan selang keinjxexxa,0,0
sarkas emang bego,1,1
cium jokowi tajam cari uangupss salah hutang uang,1,0
oh nga bom informasi,0,0
delman onta,0,0
komisi i dpr ri harap mutasi perwira laku panglima tni,0,0
jokowi tai asu,1,1
top story proyek strategis jokowi rp triliun rampung,0,0
muslim g singgung ngelaporinnalarku cerna fiksi fiktif kitab suci multi ai indentik alquran cebong mmg dungu nalar gantipreside,1,1
bijak barang konsumen laku barang rusak cacat produksi konsumen puas produk hitung tanggal pembeliannhauzminiquiz hauzid,0,0
kelompok hasil kapital gatot duga mrklah ketiban momenum bowo kelompok cikeas jokowi,1,0
program tunggu,0,0
bukti muhammad nabi gadungan masyarakat tunggu,1,1
ikan hidup air hidup,0,0
deskriminasi jatuh akuxexxa reputasi bisuxexxa aaaa aaaakuuuxexxa ku layuuxexxa ooo ooo oooo,0,0
teman brengsek,1,1
rakyat cina rakyat indonesia anak turun pki paham,1,0
iman tuhan rasul pei golong ateisnberiman tuhan tolak rasul sepet golong antihadisnberiman tuhan tolak sebahagian rasul pei yahudi tolak rasul nabi isa as nasrani menola,0,0
cewek gila sinting freak,1,1
presiden jokowi tinjau proyek bandara keajati rencana operasi juni tahap kapasitas terminal tampung juta,0,0
tantang bukti jokowi turun pki skrg bukti berita hilang skrg aneh pilpres tuduh pki hilang bar,0,0
boneka menang pilpres berkat bantu kuasa dalang rajalela kuasa batas awas paai dpr tentara polisi senator ormas kampus mahassiswa buruh cendikiawan media ulama s,1,0
terima kasih mas sa kecewa tebang pilih pasal nista agama moga hukum beindak adil,0,0
dd anjing greget wwkkw,0,1
radio lihat bodoh,1,1
mantap aset ngr dikuasaidikelola asing dlm era bp jokowi satupersatu ambil alih ngr th ganti presiden bp jokowi,0,0
tingggi banget roket ekonomi indonesiablukkk,0,0
sarap,1,1
gede on ego,0,1
contoh dki impor bawang cinagubernur kroni tengku,0,0
ahelah sombong punuk onta,1,1
enek elo urus dasar urusan cewek norak,1,1
islam nusantara paksa nnpadahal kristen nusantara katolik nusantara budha nusantara hindu nusantara nndia ramai,0,0
penasaran sebenernya ahahah mencari kambing hitam aseng rusia misterius diem nanggapin secepetnya bikin hancur mrk apa-apa drag us all ahahahanpemerintah,1,0
pilih agussylvinanaknya sby keluarga koruptorn blusukanahokn berjamaahcoblospecinyau,1,0
presiden jarang afrika kecuali ktt pemimpinpemimpin afrika indonesia hadir ktt indonesia kaatahun indonesiaafrika,0,0
muke monyet,1,1
gila,1,1
bodoh rizieq tukang bikin onar wajar org muak sm siang teriak takbir malam chat mesum munafik gitu bikin bodoh lha istri,1,1
cecilia mahmuda canolly islam lihat buktibukti kuasa allah,0,0
dekrit bubar dpr,1,0
harakah kenal taat batas individu ulama im tinggal albanna tolak tradisi baiat mursyid salah keras tolak syaikh qardhawi,0,0
pakai kendara jarang dibelai,1,1
sarap hahaha mentang april fools day,0,1
takut bosan bicara akn rezim antek asing aseng daruratdemokrasi tipu,1,0
wkwkwk update banci,1,1
kampang kalyaaann,1,1
jokowi takut kalah takut kedok jual aset asengxfxfxxxfxfxx,1,0
nama bule laku idiot bela gabenernya malu njing bayarin sekolah mas comberan bayar maju jual biji nyuk,1,1
pancasila wibawa konsep karno seleweng islam tuhan yme sila,1,0
hahahahaha ujung maaf culun ngopilaaaaaaah,1,1
susu kntl manis,0,0
jokowi restu wna duduk jabat direksi bumn rizal ramli ampun deh,0,0
peran israel bantai muslim rohingya,1,0
serigala jarang dibelai wkwkwk,0,1
ah tai,0,1
minimal antek keras alir beraqidah islam,0,0
boomerang mulut,1,0
harap coblos jokowi jk ubah ahmadiyah bebas beraktifitas ibadah nyata,1,0
silit coba,0,1
agama energi sisi konstruktif sisi agama rusak agama orangorang bicara nama agama syaikh abdullah bin bayyah,0,0
usaha china reklamasi pulau g batal jokowi lengser,1,0
uda ku ambil hpnya jual bodo biar kapok ngeselin hatihati banget johnxfxfxxad,0,1
ab cinta ketengangan sea olahraga,0,0
rejim jokowi otoriter maksa banget pakai non tuney,1,0
syukur patut syukur lihat engkau komputer pegang smaphone takut tibatiba bom rudal hantam syukur,0,0
aparatkeparatnmembela bayarbukan benarnaparat cm alat kuasa alqt kuasa,1,1
gerindra pks teken letter of agreement kait cawapres prabowo kumpar,0,0
perintah pergi pes tenaga kerja asing,0,0
pasang abg semangat ngentotnfull gtgt bokepabg abgmesum ngentot mesum boxexxa,0,1
buka kacamata mata asa sipit kantong mata hitam banget,0,0
tunggu gera bem ri henti calon jokowi presiden gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden,1,0
bikin tl ajah pakai bahasa ontannsok pakai bahasa kafirnn,1,1
syahadat islam bang fahri tuhan allah hu barbar benci kafir saksi muhammad bejad nabi,1,1
usir bantai hindu budha indonesia biar,1,0
sinting wkwkwk,0,1
kemarin bilang modar midar duluan,0,1
bangsa negara berani kubur islam said negara kalah aksi teroris,1,0
xfxfxxxfxfxxxfxfxx pimpin tolol tular tolol,1,1
tapitapi sha kayak geng rp circle delulu gin temenku gibah anak ipro gin gitu rerata percaya informasi fans cina langsung,0,0
harun yahya kristen ternyatannkagetgwnnjngn nilai org senyum,0,0
heran xl lancar sinyal sklinya buka ml langsung lag bajing ltgt,1,1
musuhmusuh islam otomatis kafir,1,0
sengsara rais obral bicara melulu laku laku,0,1
sibuk ngewe,0,1
mahasiswa aktif giat kampus kuchat,0,0
ih bangsad,1,1
ajarin ditanggapin guru trus guru bego gitu doniiii luh ma anak tk samaaaa pinteran kali anak tk luh anjing suruh lolong time li,1,1
entar nete,0,1
"ok on the way, jalan manjangin kunti g",0,0
presiden ajak ulama sejuk suasana jelang pemilihan kepala daerah serentak lengkap,0,0
iklanahokjahat terorist nyata indonesia wahabi onta babi babi milik cina tebar teror sungguh,1,1
jipepet ngeselin pis anak kdang suka monyet cowonya segambreng caileh,0,1
cina emang kenal trik tipu daya usir suruh habitat asli,1,0
salah hasil rekomendasi mukernas dukung sbg presiden republik indonesia anismatta rinduanismatta,0,0
l anjing ketawa engap,0,1
apa-apa lihat kntl gratismasih skip cuci mata lihat segar haqiqi xfxfxxd,0,1
cowo jaman putus suka ngejelekin mantan bispak perek lain-lain cowo kaya gitu banci cabecabeaan,1,1
hebat bilang munafik cermin xfxfxxxfxfxxxfxfxxxfxfxx,1,1
